Product ID,Phone ID,phone_screen_size,phone_chip,phone_front_cam,phone_behind_cam,phone_battery,phone_system,phone_charging_port,phone_sim_card,phone_nfc,phone_ear_phone,phone_memory_card,phone_desc
pdt_7,ip13,6.1 inch OLED Super Retina XDR,Apple A15 Bionic,12 MP,"12 MP + 12 MP (wide+ultrawide)",3240,iOS 15 (up to iOS 17),Lightning,2,TRUE,Không kèm tai nghe,FALSE,iPhone 13 với hiệu năng cao và camera kép
pdt_8,ip13pm,6.7 inch OLED Super Retina XDR ProMotion 120Hz,Apple A15 Bionic (5-core GPU),12 MP,"12 MP + 12 MP + 12 MP (wide, tele, ultrawide)",4352,iOS 15 (up to iOS 17),Lightning,2,TRUE,Không kèm tai nghe,FALSE,iPhone 13 Pro Max với màn ProMotion 120Hz
pdt_9,ip14,6.1 inch OLED Super Retina XDR,Apple A15 Bionic (5-core GPU),12 MP,"12 MP + 12 MP (wide+ultrawide)",3279,iOS 16 (up to iOS 17),Lightning,2,TRUE,Không kèm tai nghe,FALSE,iPhone 14 với crash detection SOS vệ tinh
pdt_10,ip14pm,6.7 inch OLED Super Retina XDR ProMotion 120Hz,Apple A16 Bionic,12 MP,"48 MP (wide) + 12 MP (ultrawide) + 12 MP (tele)",4323,iOS 16 (up to iOS 17),Lightning,2,TRUE,Không kèm tai nghe,FALSE,iPhone 14 Pro Max với Dynamic Island Always-on
pdt_11,s23u,6.8 inch Dynamic AMOLED 2X,Snapdragon 8 Gen 2,12 MP,"200 MP + 10 MP (3x) + 10 MP (10x) + 12 MP",5000,Android 13 (One UI 5.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Galaxy S23 Ultra với S Pen 120Hz
pdt_12,s23,6.1 inch Dynamic AMOLED 2X,Snapdragon 8 Gen 2,12 MP,"50 MP + 10 MP + 12 MP",3900,Android 13 (One UI 5.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Galaxy S23 120Hz camera 50MP
pdt_13,zflip4,6.7 inch Dynamic AMOLED 2X,Snapdragon 8+ Gen 1,10 MP,"12 MP + 12 MP",3700,Android 12 (One UI 4.1.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Galaxy Z Flip 4 gập dọc 120Hz
pdt_14,a73,6.7 inch Super AMOLED+,Snapdragon 778G 5G,32 MP,"108 MP + 12 MP + 5 MP + 5 MP",5000,Android 12 (One UI 4.1),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Galaxy A73 5G màn 120Hz
pdt_15,a53,6.5 inch Super AMOLED,Exynos 1280,32 MP,"64 MP + 12 MP + 5 MP + 5 MP",5000,Android 12 (One UI 4.1),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Galaxy A53 5G 120Hz
pdt_16,s22,6.1 inch Dynamic AMOLED 2X,Snapdragon 8 Gen 1,10 MP,"50 MP + 10 MP + 12 MP",3700,Android 12 (One UI 4.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Galaxy S22 120Hz OIS
pdt_17,s21,6.2 inch Dynamic AMOLED 2X,Snapdragon 888,10 MP,"12 MP + 64 MP + 12 MP",4000,Android 11 (One UI 3.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Galaxy S21 120Hz
pdt_18,m55,6.7 inch Super AMOLED+,Snapdragon 7 Gen 1,50 MP,"50 MP + 8 MP + 2 MP",5000,Android 14 (One UI 6.1),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Galaxy M55 5G sạc nhanh
pdt_19,a35,6.6 inch Super AMOLED,Exynos 1380,13 MP,"50 MP + 8 MP + 5 MP",5000,Android 14 (One UI 6.1),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Galaxy A35 5G IP67
pdt_20,reno10pro,6.74 inch AMOLED,Dimensity 8200,32 MP,"50 MP + 32 MP (tele) + 8 MP",4600,Android 13 (ColorOS 13.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,OPPO Reno10 Pro 120Hz
pdt_21,oppoa74,6.43 inch AMOLED FHD+,Snapdragon 662,16 MP,"48 MP + 2 MP + 2 MP",5000,Android 11 (ColorOS 11.1),USB-C,2,TRUE,Không kèm tai nghe,TRUE,OPPO A74 AMOLED 6.43
pdt_22,reno8pro,6.7 inch AMOLED 120Hz,Dimensity 8100-Max,32 MP,"50 MP + 8 MP + 2 MP",4500,Android 12 (ColorOS 12.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,OPPO Reno8 Pro 120Hz
pdt_23,reno8,6.4 inch AMOLED 90Hz,Dimensity 1300,32 MP,"50 MP + 8 MP + 2 MP",4500,Android 12 (ColorOS 12.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,OPPO Reno8 camera 50MP
pdt_24,reno7pro,6.55 inch AMOLED 90Hz,Dimensity 1200-Max,32 MP,"50 MP + 8 MP + 2 MP",4500,Android 11/12 (ColorOS 12),USB-C,2,TRUE,Không kèm tai nghe,FALSE,OPPO Reno7 Pro viền mỏng
pdt_25,reno7,6.4 inch AMOLED 90Hz,Snapdragon 680 (4G),32 MP,"64 MP + 2 MP + 2 MP",4500,Android 11/12 (ColorOS 12),USB-C,2,TRUE,Không kèm tai nghe,TRUE,OPPO Reno7 4G mỏng nhẹ
pdt_26,reno10pro,6.74 inch AMOLED 120Hz,Dimensity 8200,32 MP,"50 MP + 32 MP (tele) + 8 MP",4600,Android 13 (ColorOS 13.1),USB-C,2,TRUE,Không kèm tai nghe,FALSE,OPPO Reno10 Pro 120Hz
pdt_27,nubia8spro,6.8 inch AMOLED 120/144Hz,Snapdragon 8 Gen 2 (Leading ver.),16 MP (UDC),"50 MP + 8 MP + 2 MP",6000,Android 13 (RedMagic OS),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Nubia RedMagic 8S Pro gaming
pdt_28,nubia7obsidian,6.8 inch AMOLED 165Hz,Snapdragon 8 Gen 1,8 MP,"64 MP + 8 MP + 2 MP",4500,Android 12 (RedMagic OS 5),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Nubia RedMagic 7 Obsidian gaming
pdt_29,vivoy28,6.56 inch IPS LCD 90Hz,Dimensity 6020,8 MP,"50 MP + 2 MP",5000,Android 14 (Funtouch OS 14),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Vivo Y28 5G pin 5000mAh
pdt_30,vivov30e,6.78 inch AMOLED 120Hz,Snapdragon 6 Gen 1,50 MP,"50 MP + 8 MP",5500,Android 14 (Funtouch OS 14),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Vivo V30E màn 120Hz
pdt_31,vivov23pro,6.56 inch AMOLED 90Hz,Dimensity 1200,"50 MP + 8 MP (dual)","108 MP + 8 MP + 2 MP",4300,Android 12 (Funtouch OS 12),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Vivo V23 Pro selfie đẹp
pdt_32,vivov25pro,6.56 inch AMOLED 120Hz,Dimensity 1300,32 MP,"64 MP + 8 MP + 2 MP",4830,Android 12 (Funtouch OS 12),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Vivo V25 Pro 120Hz
pdt_33,vivox50pro,6.56 inch AMOLED 90Hz,Snapdragon 765G,32 MP,"48 MP + 8 MP (periscope) + 13 MP + 8 MP",4315,Android 10/11 (Funtouch OS),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Vivo X50 Pro gimbal OIS
pdt_34,vivox60,6.56 inch AMOLED 120Hz,Snapdragon 870,32 MP,"48 MP + 13 MP + 13 MP",4300,Android 11 (Funtouch OS),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Vivo X60 120Hz AMOLED
pdt_35,vivox60pro,6.56 inch AMOLED 120Hz,Snapdragon 870,32 MP,"48 MP + 13 MP + 13 MP",4200,Android 11 (Funtouch OS),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Vivo X60 Pro ZEISS
pdt_36,vivox70,6.56 inch AMOLED 120Hz,Dimensity 1200-vivo,32 MP,"40 MP + 12 MP + 12 MP",4400,Android 11/12 (Funtouch OS),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Vivo X70 ZEISS T*
pdt_37,vivox70pro,6.56 inch AMOLED 120Hz,Exynos 1080,32 MP,"50 MP + 12 MP + 12 MP + 8 MP (periscope)",4450,Android 11/12 (Funtouch OS),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Vivo X70 Pro 4 camera
pdt_38,realme7,6.5 inch IPS LCD 90Hz,Helio G95,16 MP,"64 MP + 8 MP + 2 MP + 2 MP",5000,Android 10/11 (Realme UI),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Realme 7 sạc nhanh 30W
pdt_39,realme8,6.4 inch Super AMOLED 60Hz,Helio G95,16 MP,"64 MP + 8 MP + 2 MP + 2 MP",5000,Android 11 (Realme UI 2.0),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Realme 8 màn AMOLED
pdt_40,realme8pro,6.4 inch Super AMOLED 60Hz,Snapdragon 720G,16 MP,"108 MP + 8 MP + 2 MP + 2 MP",4500,Android 11 (Realme UI 2.0),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Realme 8 Pro 108MP
pdt_41,realme9,6.4 inch Super AMOLED 90Hz,Snapdragon 680,16 MP,"108 MP + 8 MP + 2 MP",5000,Android 12 (Realme UI 3.0),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Realme 9 AMOLED 90Hz
pdt_42,realme9pro,6.6 inch IPS LCD 120Hz,Snapdragon 695 5G,16 MP,"64 MP + 8 MP + 2 MP",5000,Android 12 (Realme UI 3.0),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Realme 9 Pro 5G
pdt_43,realmegt,6.43 inch Super AMOLED 120Hz,Snapdragon 870,16 MP,"64 MP + 8 MP + 2 MP",4500,Android 11/12 (Realme UI 2/3),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Realme GT Snapdragon 870
pdt_44,realmegtmaster,6.43 inch Super AMOLED 120Hz,Snapdragon 778G,32 MP,"64 MP + 8 MP + 2 MP",4300,Android 11 (Realme UI 2.0),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Realme GT Master Edition
pdt_45,realmegtneo2,6.62 inch AMOLED 120Hz,Snapdragon 870,16 MP,"64 MP + 8 MP + 2 MP",5000,Android 11/12 (Realme UI),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Realme GT Neo 2 120Hz
pdt_46,realmec25,6.5 inch IPS LCD HD+,Helio G70,8 MP,"48 MP + 2 MP + 2 MP",6000,Android 11 (Realme UI 2.0),USB-C,2,FALSE,Không kèm tai nghe,TRUE,Realme C25 pin 6000mAh
pdt_47,realmec35,6.6 inch IPS LCD FHD+,Unisoc Tiger T616,8 MP,"50 MP + 2 MP + 0.3 MP",5000,Android 11/12 (Realme UI R),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Realme C35 giá rẻ
pdt_48,xiaomimi10,6.67 inch AMOLED 90Hz,Snapdragon 865,20 MP,"108 MP + 13 MP + 2 MP + 2 MP",4780,Android 10/11 (MIUI 12/13),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Xiaomi Mi 10 108MP
pdt_49,xiaomimi10tpro,6.67 inch IPS LCD 144Hz,Snapdragon 865,20 MP,"108 MP + 13 MP + 5 MP",5000,Android 10/11 (MIUI 12),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Xiaomi Mi 10T Pro 144Hz
pdt_50,xiaomimi11,6.81 inch AMOLED 120Hz,Snapdragon 888,20 MP,"108 MP + 13 MP + 5 MP",4600,Android 11/12 (MIUI 12.5/13),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Xiaomi Mi 11 Snapdragon 888
pdt_51,xiaomimi11ultra,6.81 inch AMOLED 120Hz,Snapdragon 888,20 MP,"50 MP + 48 MP + 48 MP",5000,Android 11/12 (MIUI 12.5/13),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Xiaomi Mi 11 Ultra màn phụ
pdt_52,xiaomi12,6.28 inch AMOLED 120Hz,Snapdragon 8 Gen 1,32 MP,"50 MP + 13 MP + 5 MP",4500,Android 12 (MIUI 13),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Xiaomi 12 Snapdragon 8 Gen 1
pdt_53,xiaomi12pro,6.73 inch AMOLED 120Hz,Snapdragon 8 Gen 1,32 MP,"50 MP + 50 MP + 50 MP",4600,Android 12 (MIUI 13),USB-C,2,TRUE,Không kèm tai nghe,FALSE,Xiaomi 12 Pro 3 camera 50MP
pdt_54,redminote10,6.43 inch AMOLED 60Hz,Snapdragon 678,13 MP,"48 MP + 8 MP + 2 MP + 2 MP",5000,Android 11 (MIUI 12),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Redmi Note 10 màn AMOLED
pdt_55,redminote10pro,6.67 inch AMOLED 120Hz,Snapdragon 732G,16 MP,"108 MP + 8 MP + 5 MP + 2 MP",5020,Android 11 (MIUI 12),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Redmi Note 10 Pro 120Hz AMOLED
pdt_56,redminote11,6.43 inch AMOLED 90Hz,Snapdragon 680,13 MP,"50 MP + 8 MP + 2 MP + 2 MP",5000,Android 11/12 (MIUI 13),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Redmi Note 11 AMOLED 90Hz
pdt_57,redminote11pro,6.67 inch AMOLED 120Hz,Dimensity 920 5G,16 MP,"108 MP + 8 MP + 2 MP",5160,Android 11/12 (MIUI 12.5/13),USB-C,2,TRUE,Không kèm tai nghe,TRUE,Redmi Note 11 Pro 5G 120Hz
